Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-05-28 05:05:28,false,"Basingstoke and Deane Walking","6.61","528","01:24:55","125","177","107","227","12:51","7:07","62","71","0.72","0.0","9,282","No","00:07:29.7","7","01:20:15","01:24:55","153","187"
Walking,2026-05-24 18:09:48,false,"Basingstoke and Deane Walking","5.99","578","01:27:43","147","189","93","246","14:38","6:28","60","54","0.73","0.0","8,604","No","00:09:42.4","6","01:15:15","01:27:43","146","180"
Walking,2026-05-22 19:08:47,false,"Basingstoke and Deane Walking","4.72","400","01:03:16","146","187","105","244","13:25","5:44","34","35","0.71","0.0","6,938","No","00:09:25.1","5","01:01:11","01:03:16","123","176"
Walking,2026-04-02 17:53:42,false,"Basingstoke and Deane Walking","1.81","128","00:28:14","114","137","79","135","15:38","9:36","13","15","0.83","0.0","2,394","No","00:10:54","2","00:21:53","00:28:14","56","175"
Walking,2025-09-27 19:36:12,false,"Basingstoke and Deane Walking","1.05","65","00:12:44","129","143","115","128","12:04","10:46","8","13","0.72","0.0","1,506","No","00:00:50.5","2","00:12:29","00:12:44","125","147"
Walking,2025-09-27 04:36:30,false,"Basingstoke and Deane Walking","1.33","83","00:17:33","115","136","107","124","13:11","11:27","11","18","0.71","0.0","1,922","No","00:04:11.3","2","00:16:57","00:17:33","122","171"
Walking,2025-09-14 19:28:25,false,"Basingstoke and Deane Walking","1.70","116","00:21:15","131","146","113","130","12:29","10:31","16","13","0.71","0.0","2,424","No","00:08:55.8","2","00:21:05","00:21:15","174","240"
Walking,2025-08-28 19:43:31,false,"Basingstoke and Deane Walking","1.21","69","00:14:11","116","137","105","133","11:42","10:27","11","11","0.81","0.0","1,584","No","00:02:37.2","2","00:13:53","00:14:11","161","311"
Walking,2025-08-23 06:25:14,false,"Basingstoke and Deane Walking","5.88","365","01:12:40","127","153","110","247","12:22","10:02","36","56","0.73","0.0","8,174","No","00:10:13","6","01:09:47","01:12:40","144","175"
Walking,2025-08-22 19:58:24,false,"Basingstoke and Deane Walking","2.44","140","00:29:22","107","135","94","150","12:03","8:48","10","20","0.94","0.0","2,870","No","00:05:18.6","3","00:28:11","00:29:22","159","173"
Walking,2025-08-19 19:40:47,false,"Basingstoke and Deane Walking","0.60","42","00:07:04.4","138","148","114","129","11:44","9:39","7","4","0.75","0.0","850","No","00:07:04.4","1","00:06:55","00:07:06.0","159","164"
Walking,2025-08-17 19:36:00,false,"Basingstoke and Deane Walking","2.15","126","00:27:39","113","127","103","160","12:51","10:27","13","12","0.76","0.0","2,918","No","00:02:42.6","3","00:26:08","00:27:39","153","179"
Walking,2025-08-05 20:29:58,false,"Basingstoke and Deane Walking","1.63","102","00:19:51","127","151","115","136","12:13","9:59","10","17","0.71","0.0","2,306","No","00:07:57.0","2","00:19:16","00:19:51","129","149"
Walking,2025-07-24 18:46:14,false,"Basingstoke and Deane Walking","3.97","255","00:48:20","128","151","117","139","12:11","7:14","24","32","0.70","0.0","5,720","No","00:10:44","4","00:46:52","00:48:20","154","168"
Walking,2025-07-23 20:43:00,false,"Basingstoke and Deane Walking","5.00","324","01:01:17","130","157","114","242","12:16","9:52","36","52","0.71","0.0","7,086","No","00:10:45","5","00:59:53","01:01:18","131","172"
Walking,2025-07-19 04:19:39,false,"Basingstoke and Deane Walking","4.63","272","00:57:06","115","132","112","247","12:20","9:45","28","41","0.72","0.0","6,542","No","00:07:32.0","5","00:56:47","00:57:06","143","164"
Walking,2025-07-18 19:53:06,false,"Basingstoke and Deane Walking","5.68","376","01:04:55","137","188","113","241","11:25","4:50","31","41","0.78","0.0","7,486","No","00:07:54.9","6","01:03:48","01:04:55","138","174"
Walking,2025-07-13 05:55:26,false,"Basingstoke and Deane Walking","5.50","388","01:11:15","131","168","102","250","12:58","5:29","41","49","0.75","0.0","7,400","No","00:05:52.7","6","01:04:24","01:11:16","157","181"
Walking,2025-07-12 17:47:22,false,"Basingstoke and Deane Walking","5.07","342","00:58:23","136","159","120","244","11:31","8:28","41","47","0.73","0.0","7,068","No","00:00:48.3","6","00:57:55","00:58:23","158","187"
Walking,2025-07-11 20:55:14,false,"Basingstoke and Deane Walking","1.59","97","00:19:10","125","146","116","129","12:04","10:05","13","15","0.71","0.0","2,248","No","00:07:04.5","2","00:19:09","00:19:10","166","177"
